"GeographyPK","Site","SiteCode","Country","State","County","GPS"
1,"Anderson","","USA","CA","Yolo","N W"
2,"Barger","H1","USA","CA","Yolo","N38 34.575 W121 49.834"
3,"Barn","","USA","CA","Yolo","N38 40.022 W121 58.984"
4,"BC1","","USA","CA","Yolo","N38 38.284 W121 54.285"
5,"BC2","C4b","USA","CA","Yolo","N38 37.606 W121 51.466"
6,"Berm","","USA","CA","Yolo","N38 42.051 W121 59.742"
7,"BermForb","","USA","CA","Yolo","N38 42.108 W122 0.245"
8,"Best","","USA","CA","Yolo","N38 48.946 W121 56.554"
9,"Bobcat","","USA","CA","Yolo","N38 32.980 W122 1.436"
10,"Bramlett","","USA","CA","","N38 53.457 W122 13.783"
11,"Bray1","","USA","CA","","N38 31.059 W122 4.881"
12,"Bray2","","USA","CA","","N38 31.633 W122 4.980"
13,"Butler","H2","USA","CA","Yolo","N38 39.106 W121 58.830"
14,"Chamberlain","C5b","USA","CA","Yolo","N38 36.319 W121 52.630"
15,"CircleG","","USA","CA","Yolo","N38 38.103 W121 56.972"
16,"CLBL","","USA","CA","Solano","N38 31.483 W121 55.035"
17,"CR101","","USA","CA","Yolo","N38 46.037 W121 44.915"
18,"CR101Control","","USA","CA","Yolo","N38 44.942 W121 44.886"
19,"CR29","","USA","CA","Yolo","N38 35.431 W121 53.366"
20,"DQU","C5a","USA","CA","Yolo","N38 33.687 W121 53.191"
21,"Fong","","USA","CA","Yolo","N38 41.753 W121 53.422"
22,"FongWest","","USA","CA","Yolo","N38 41.874 W121 54.199"
23,"GC1","","USA","CA","Yolo","N38 39.922 W121 54.526"
24,"Gilmer","","USA","CA","Yolo","N38 34.329 W121 52.353"
25,"GilmerForb","","USA","CA","Yolo","N38 34.131 W121 52.300"
26,"Gnoss","","USA","CA","Yolo","N38 39.951 W121 56.332"
27,"Gregory","C1b","USA","CA","Yolo","N38 38.915 W121 53.393"
28,"H16","C2a","USA","CA","Yolo","N38 41.459 W121 58.988"
29,"Harlan","","USA","CA","Yolo","N38 38.822 W121 58.606"
30,"Hatanaka","","USA","CA","Yolo","N38 40.912 W121 56.752"
31,"Hays","","USA","CA","Yolo","N38 50.860 W121 56.025"
32,"HC1","C3a","USA","CA","Yolo","N38 38.076 W121 59.932"
33,"Hrdy","H3","USA","CA","Yolo","N38 38.680 W121 59.796"
34,"Joe","","USA","CA","Yolo","N38 35.481 W121 58.212"
35,"Johnston","","USA","CA","Yolo","N38 47.551 W121 47.319"
36,"Joost","","USA","CA","Yolo","N W"
37,"Loop","","USA","CA","Yolo","N38 38.542 W122 0.560"
38,"Lowry","","USA","CA","","N38 53.984 W122 14.234"
39,"Maria","","USA","CA","Yolo","N38 46.680 W121 46.145"
40,"Mariani","","USA","CA","Yolo","N38 38.981 W122 00.502"
41,"Martinez","","USA","CA","Colusa","N38 59.658 W122 05.959"
42,"MC1","C4a","USA","CA","Yolo","N38 43.338 W121 51.718"
43,"MullerB","H4","USA","CA","Yolo","N38 42.768 W121 51.906"
44,"MullerM","","USA","CA","Yolo","N38 47.166 W121 49.856"
45,"Oakdale","","USA","CA","Yolo","N38 41.040 W122 00.717"
46,"PurcellForb","","USA","CA","Yolo","N38 39.672 W121 58.899"
47,"PutahCreek","","USA","CA","Yolo","N38 31.702 W121 53.997"
48,"PutahCreekForb","","USA","CA","Yolo","N38 31.765 W121 55.468"
49,"RLong","","USA","CA","Yolo","N38 49.418 W121 55.619"
50,"Rock","","USA","CA","Yolo","N38 39.129 W121 53.500"
51,"Rominger","","USA","CA","Yolo","N38 35.707 W121 58.843"
52,"RomingerForb","","USA","CA","Yolo","N38 35.522 W121 59.116"
53,"Roosevelt","","USA","CA","Yolo","N38 48.488 W121 48.183"
54,"RSlough","","USA","CA","Colusa","N38 59.890 W122 04.650"
55,"SHamilton","","USA","CA","",NA
56,"Sperandio","H5","USA","CA","Yolo","N38 35.004 W121 50.560"
57,"Spiva","C2b","USA","CA","Yolo","N38 39.754 W121 58.213"
58,"Tractor","","USA","CA","Yolo","N38 38.092 W122 00.192"
59,"Turkovich","C3b","USA","CA","Yolo","N38 34.476 W121 58.237"
60,"USS","C1a","USA","CA","Yolo","N38 36.352 W121 58.265"
61,"Voelz","","USA","CA","Yolo","N38 51.175 W121 57.984"
62,"YoloAirport","","USA","CA","Yolo","N38 35.444 W121 51.183"
63,"Zamora","","USA","CA","Yolo","N38 47.213 W121 51.548"
